 ,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts_38,Hand Counts_39,Combinations_38,Combinations_39,Percentage_38,Percentage_39,Percentage Diff,Comb 39/38,Perc Diff
25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,104,105,2109,2223,0.85%,0.84%,0.01%,105.41%,0.62%
22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,104,105,2109,741,0.85%,0.84%,0.01%,35.14%,0.62%
28,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,104,105,6327,4446,0.85%,0.84%,0.01%,70.27%,0.62%
27,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,104,105,6327,6669,0.85%,0.84%,0.01%,105.41%,0.62%
26,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,104,105,4218,4446,0.85%,0.84%,0.01%,105.41%,0.62%
24,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,104,105,2109,2223,0.85%,0.84%,0.01%,105.41%,0.62%
23,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,104,105,4218,2964,0.85%,0.84%,0.01%,70.27%,0.62%
21,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,104,105,4218,4446,0.85%,0.84%,0.01%,105.41%,0.62%
20,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,104,105,6327,4446,0.85%,0.84%,0.01%,70.27%,0.62%
19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,104,105,703,741,0.85%,0.84%,0.01%,105.41%,0.62%
42,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42,42,380,390,0.34%,0.34%,0.01%,102.63%,0.57%
53,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,1140,1170,0.23%,0.22%,0.00%,102.63%,0.38%
57,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,1710,1170,0.23%,0.22%,0.00%,68.42%,0.38%
54,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,1368,1404,0.23%,0.22%,0.00%,102.63%,0.38%
56,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,2052,1404,0.23%,0.22%,0.00%,68.42%,0.38%
59,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,342,351,0.23%,0.22%,0.00%,102.63%,0.38%
58,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,2052,1404,0.23%,0.22%,0.00%,68.42%,0.38%
60,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,1710,1755,0.23%,0.22%,0.00%,102.63%,0.38%
51,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,2052,2106,0.23%,0.22%,0.00%,102.63%,0.38%
52,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,342,351,0.23%,0.22%,0.00%,102.63%,0.38%
55,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,684,351,0.23%,0.22%,0.00%,51.32%,0.38%
50,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,1140,1170,0.23%,0.22%,0.00%,102.63%,0.38%
46,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,684,702,0.23%,0.22%,0.00%,102.63%,0.38%
43,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,342,156,0.23%,0.22%,0.00%,45.61%,0.38%
44,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,1140,780,0.23%,0.22%,0.00%,68.42%,0.38%
45,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,28,1368,1404,0.23%,0.22%,0.00%,102.63%,0.38%
49,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,684,351,0.23%,0.22%,0.00%,51.32%,0.38%
48,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,1368,936,0.23%,0.22%,0.00%,68.42%,0.38%
47,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,28,1710,1170,0.23%,0.22%,0.00%,68.42%,0.38%
61,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,23,310,310,0.19%,0.18%,0.00%,100.00%,0.31%
62,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,16,495,300,0.13%,0.13%,0.00%,60.61%,0.22%
63,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16,16,300,300,0.13%,0.13%,0.00%,100.00%,0.22%
64,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,16,495,495,0.13%,0.13%,0.00%,100.00%,0.22%
65,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,16,495,495,0.13%,0.13%,0.00%,100.00%,0.22%
70,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,14,14,684,468,0.11%,0.11%,0.00%,68.42%,0.19%
69,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,14,14,684,702,0.11%,0.11%,0.00%,102.63%,0.19%
72,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14,14,38,39,0.11%,0.11%,0.00%,102.63%,0.19%
71,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,14,14,684,468,0.11%,0.11%,0.00%,68.42%,0.19%
67,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,14,14,1026,702,0.11%,0.11%,0.00%,68.42%,0.19%
68,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14,14,38,39,0.11%,0.11%,0.00%,102.63%,0.19%
74,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,9,111,111,0.07%,0.07%,0.00%,100.00%,0.12%
75,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,9,111,111,0.07%,0.07%,0.00%,100.00%,0.12%
76,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,8,65,65,0.07%,0.06%,0.00%,100.00%,0.11%
78,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,8,65,65,0.07%,0.06%,0.00%,100.00%,0.11%
84,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,7,180,105,0.06%,0.06%,0.00%,58.33%,0.10%
90,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,144,144,0.06%,0.06%,0.00%,100.00%,0.10%
89,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,7,180,105,0.06%,0.06%,0.00%,58.33%,0.10%
88,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,55,55,0.06%,0.06%,0.00%,100.00%,0.10%
87,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,7,105,60,0.06%,0.06%,0.00%,57.14%,0.10%
86,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,7,243,144,0.06%,0.06%,0.00%,59.26%,0.10%
85,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,105,105,0.06%,0.06%,0.00%,100.00%,0.10%
91,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,180,180,0.06%,0.06%,0.00%,100.00%,0.10%
82,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,7,144,84,0.06%,0.06%,0.00%,58.33%,0.10%
83,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,105,105,0.06%,0.06%,0.00%,100.00%,0.10%
80,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,7,243,144,0.06%,0.06%,0.00%,59.26%,0.10%
