,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
52,False,False,False,False,True,True,True,False,False,False,28,342,0.002277904328018223,"Handset object with 28 distinct hands, and 342 hand combinations."
59,True,False,False,False,True,True,True,False,False,False,28,1140,0.002277904328018223,"Handset object with 28 distinct hands, and 1140 hand combinations."
58,False,True,False,True,True,False,True,False,False,False,28,1368,0.002277904328018223,"Handset object with 28 distinct hands, and 1368 hand combinations."
57,False,False,True,True,False,False,True,False,False,False,28,684,0.002277904328018223,"Handset object with 28 distinct hands, and 684 hand combinations."
56,True,False,False,True,False,True,True,False,False,False,28,1710,0.002277904328018223,"Handset object with 28 distinct hands, and 1710 hand combinations."
55,False,True,False,False,True,True,True,False,False,False,28,1368,0.002277904328018223,"Handset object with 28 distinct hands, and 1368 hand combinations."
54,False,False,True,False,False,True,True,False,False,False,28,684,0.002277904328018223,"Handset object with 28 distinct hands, and 684 hand combinations."
53,True,False,False,True,True,False,True,False,False,False,28,1140,0.002277904328018223,"Handset object with 28 distinct hands, and 1140 hand combinations."
60,False,True,True,True,False,False,True,False,False,False,28,2052,0.002277904328018223,"Handset object with 28 distinct hands, and 2052 hand combinations."
51,False,False,False,True,True,False,True,False,False,False,28,342,0.002277904328018223,"Handset object with 28 distinct hands, and 342 hand combinations."
46,True,False,True,False,True,False,True,False,False,False,28,1140,0.002277904328018223,"Handset object with 28 distinct hands, and 1140 hand combinations."
43,False,True,True,False,True,False,True,False,False,False,28,1368,0.002277904328018223,"Handset object with 28 distinct hands, and 1368 hand combinations."
44,False,False,False,True,False,True,True,False,False,False,28,684,0.002277904328018223,"Handset object with 28 distinct hands, and 684 hand combinations."
45,False,True,True,False,False,True,True,False,False,False,28,2052,0.002277904328018223,"Handset object with 28 distinct hands, and 2052 hand combinations."
50,True,False,True,False,False,True,True,False,False,False,28,1710,0.002277904328018223,"Handset object with 28 distinct hands, and 1710 hand combinations."
47,False,True,False,True,False,True,True,False,False,False,28,2052,0.002277904328018223,"Handset object with 28 distinct hands, and 2052 hand combinations."
49,False,False,True,False,True,False,True,False,False,False,28,342,0.002277904328018223,"Handset object with 28 distinct hands, and 342 hand combinations."
48,True,False,True,True,False,False,True,False,False,False,28,1710,0.002277904328018223,"Handset object with 28 distinct hands, and 1710 hand combinations."
61,True,True,False,False,False,False,False,False,False,False,23,310,0.001871135698014969,"Handset object with 23 distinct hands, and 310 hand combinations."
62,True,True,False,False,False,True,False,False,False,False,16,495,0.0013016596160104132,"Handset object with 16 distinct hands, and 495 hand combinations."
63,True,True,False,False,True,False,False,False,False,False,16,300,0.0013016596160104132,"Handset object with 16 distinct hands, and 300 hand combinations."
64,True,True,True,False,False,False,False,False,False,False,16,495,0.0013016596160104132,"Handset object with 16 distinct hands, and 495 hand combinations."
65,True,True,False,True,False,False,False,False,False,False,16,495,0.0013016596160104132,"Handset object with 16 distinct hands, and 495 hand combinations."
69,False,False,False,False,False,True,True,False,False,False,14,38,0.0011389521640091116,"Handset object with 14 distinct hands, and 38 hand combinations."
72,False,False,True,True,False,True,True,False,False,False,14,1026,0.0011389521640091116,"Handset object with 14 distinct hands, and 1026 hand combinations."
70,False,False,False,True,False,False,True,False,False,False,14,38,0.0011389521640091116,"Handset object with 14 distinct hands, and 38 hand combinations."
71,False,False,True,True,True,False,True,False,False,False,14,684,0.0011389521640091116,"Handset object with 14 distinct hands, and 684 hand combinations."
67,False,False,True,False,True,True,True,False,False,False,14,684,0.0011389521640091116,"Handset object with 14 distinct hands, and 684 hand combinations."
66,False,False,False,True,True,True,True,False,False,False,14,684,0.0011389521640091116,"Handset object with 14 distinct hands, and 684 hand combinations."
68,False,False,True,False,False,False,True,False,False,False,14,38,0.0011389521640091116,"Handset object with 14 distinct hands, and 38 hand combinations."
73,False,True,False,False,False,True,False,False,False,False,9,111,0.0007321835340058575,"Handset object with 9 distinct hands, and 111 hand combinations."
74,False,True,True,False,False,False,False,False,False,False,9,111,0.0007321835340058575,"Handset object with 9 distinct hands, and 111 hand combinations."
75,False,True,False,True,False,False,False,False,False,False,9,111,0.0007321835340058575,"Handset object with 9 distinct hands, and 111 hand combinations."
76,True,False,True,False,False,False,False,False,False,False,8,65,0.0006508298080052066,"Handset object with 8 distinct hands, and 65 hand combinations."
77,True,False,False,False,False,True,False,False,False,False,8,65,0.0006508298080052066,"Handset object with 8 distinct hands, and 65 hand combinations."
