,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,70,1404,0.005599104,"Handset object with 70 distinct hands, and 1404 hand combinations."
31,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,70,2457,0.005599104,"Handset object with 70 distinct hands, and 2457 hand combinations."
32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,70,1404,0.005599104,"Handset object with 70 distinct hands, and 1404 hand combinations."
33,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,70,975,0.005599104,"Handset object with 70 distinct hands, and 975 hand combinations."
34,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,70,975,0.005599104,"Handset object with 70 distinct hands, and 975 hand combinations."
35,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,70,1755,0.005599104,"Handset object with 70 distinct hands, and 1755 hand combinations."
36,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,70,2457,0.005599104,"Handset object with 70 distinct hands, and 2457 hand combinations."
40,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56,3510,0.004479283,"Handset object with 56 distinct hands, and 3510 hand combinations."
41,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56,3510,0.004479283,"Handset object with 56 distinct hands, and 3510 hand combinations."
37,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,56,2340,0.004479283,"Handset object with 56 distinct hands, and 2340 hand combinations."
39,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,56,2340,0.004479283,"Handset object with 56 distinct hands, and 2340 hand combinations."
38,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56,780,0.004479283,"Handset object with 56 distinct hands, and 780 hand combinations."
42,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42,390,0.003359462,"Handset object with 42 distinct hands, and 390 hand combinations."
60,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,28,156,0.002239642,"Handset object with 28 distinct hands, and 156 hand combinations."
52,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,2106,0.002239642,"Handset object with 28 distinct hands, and 2106 hand combinations."
58,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,351,0.002239642,"Handset object with 28 distinct hands, and 351 hand combinations."
57,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,351,0.002239642,"Handset object with 28 distinct hands, and 351 hand combinations."
